Date,Geography,Heavy Trucks - Class 8,Heavy Trucks - Class 5-7,Automotive,Zinc,Heating Oil Spot,Baltic Dry Index,Iron Ore,Soybeans,Copper Warehouse Stock Vol.,Industrial Metals Spot Price,Corn,Brent Spot,Steel,Copper,Agricultural Spot Price Index,U.S. NatGas Spot,WTI Spot,Nickel Warehouse Stock Vol.,Nickel,Zinc Warehouse Stock Vol.,Wheat,Grains,U.S. Gasoline Spot,Industrial Production,Business Confidence,Consumer Confidence,Equity Markets,Exports,Housing Starts,Retail Sales,Unemployment Rates,GDP,Aerospace,Agriculture Machinery,HVAC,Industrial Machinery,Machine Tools,Medical Equipment,Mining & Construction Machinery,Oil/Gas Extraction,Power Gen,Purchasing Managers,Producer Price,Semiconductors/Electronics
7/1/2012,North America,,,1219078,1983.02381,304.8435,680,141.8,11.94,353063.0952,410.13,6.34,111.53,4212.5,8054,430.726,2.6691,100.236,92281.42857,19849.40476,832622.619,447.83,491.32,288.09,0.036413,99.9675075,61.5108606,1300.577657,125.888,723,352.61,0.083,2.7099293,95.062,93.5913,95.4914,104.134,100.2347,98.4465,100.691975,96.7269,104.4813,53.3,115.123472,760000000
8/1/2012,North America,,,1323839,2059.428571,319.411,750,141.4,13.13,311853.5714,415.86,6.53,118.2855,4175,8440.380952,437.1115,2.5114,102.25,96122.57143,20456.07143,849398.8095,447.87,508.37,302.72,0.04122,100.072631,71.6220304,1352.487096,127.27,704,357.233,0.083,2.7099293,97.5255,91.5417,99.8263,103.5388,99.3216,98.3368,99.22828,96.474,106.5223,53.4,115.685559,760000000
9/1/2012,North America,,,1421577,2034,321.4581818,934,145.1,13.97,268577.2727,397.81,6.39,124.5040909,4150,8465.068182,439.89,2.1615455,106.1909091,98047.63636,18665.45455,877295.4545,442.54,509.09,319.44,0.027288,100.1265695,69.4500934,1389.239413,130.489,695,358.862,0.082,2.7099293,97.5735,94.2695,98.5849,105.2038,100.1694,98.1516,102.27223,97.2656,109.3133,53.6,115.793349,760000000
10/1/2012,North America,,,1257053,2002.052632,314.719,1155,145.1,14.97,259857.8947,399.21,6.51,120.657,4090,8285.184211,431.427,1.9495,103.3265,100122.9474,17963.81579,906151.3158,434.23,511.79,295.46,0.037631,100.0974874,68.7007474,1386.429823,129.049,753,356.55,0.082,2.5077061,97.6543,96.4947,100.4395,104.2284,99.3699,99.1443,102.059935,97.0736,110.3979,54,115.608623,653333333
11/1/2012,North America,,,1363390,1926.159091,291.2331818,923,131.8,13.335,225168.1818,360.88,5.76,111.5277273,4050,7904.840909,415.0686364,2.4298182,94.7018182,105595.0909,17002.04545,936580.6818,429.07,469.05,260.77,0.038099,99.9147549,64.3663513,1341.272729,129.328,708,356.05,0.082,2.5077061,98.8064,101.5459,98.4307,104.2002,99.2515,99.3699,102.46017,98.2105,106.9997,53.1,115.076307,653333333
12/1/2012,North America,,,1366050,1856.631579,262.0128571,1004,135.1,15.0775,245505.2632,362.74,6.66,96.4257143,3968.571429,7427.157895,404.5604762,2.4587143,82.4052381,104171.0526,16549.21053,967860.5263,500.98,528.95,251.43,0.033969,99.6449436,62.6867413,1323.483974,129.422,757,352.556,0.082,2.5077061,99.4749,105.2198,99.0919,104.4466,100.1058,98.8134,107.010655,98.378,109.3391,51.1,114.443627,653333333
1/1/2013,North America,,,1020999,1849.840909,282.0047619,897,119.2,17.205,252345.4545,357.03,8.18,102.1613636,3100.476191,7586.590909,497.0009524,2.9552857,87.9314286,108061.6364,16178.40909,997560.2273,588.46,640.54,273.43,0.030588,99.4856705,65.3737838,1359.777305,128.698,740,353.782,0.082,2.4297748,101.3423,89.2566,108.5666,101.4683,100.7602,99.4598,99.21093,100.4802,97.759,50,114.151548,653333333
2/1/2013,North America,,,1415351,1815.090909,304.5895652,703,89.8,17.665,238557.9545,359.42,8.03,112.3734783,3723.043478,7509,511.203913,2.8347826,94.1608696,116095.6364,15715.22727,975398.8636,591.04,649.62,306.51,0.018578,99.4687434,61.2751588,1403.439652,127.03,754,358.397,0.081,2.4297748,102.127,102.3933,98.9337,98.8312,100.5155,99.2969,100.658805,98.9842,92.2285,50.3,115.497137,653333333
3/1/2013,North America,,,1230272,2010.9,312.9484211,766,106,16.085,217505,397.24,7.55,113.3536842,3619.473684,8089.8,501.6489474,2.8448421,94.7163158,121048.8,17294,950496.25,600.85,625.27,303.76,0.019244,99.4725203,68.3522297,1443.419775,132.193,847,361.281,0.078,2.4297748,102.221,110.3988,100.8867,96.5276,99.8156,100.0203,98.854475,101.6042,92.9064,51.9,116.658015,653333333
4/1/2013,North America,,,1470676,1908.847826,313.9469565,1026,119.3,15.57,223292.3913,365.25,7.55,111.8,3204.347826,8065.413044,487.4726087,3.311,89.5708696,126434.6087,17187.5,1066591.304,577.77,611.47,247.53,0.013786,99.3857507,73.0821313,1437.816842,126.281,915,362.129,0.078,1.4917228,103.118,98.2746,96.8093,93.45,100.4907,100.0663,96.528585,104.2178,90.0106,50.5,117.143849,646666667
5/1/2013,North America,,,1330791,1908.977273,301.07,1086,116.7,14.4875,249084.0909,388.37,7.45,109.3157143,3496.666667,7700.227273,477.5728571,3.5511905,86.6895238,132797.1818,16349.54545,1176046.591,578.57,600.98,250.03,0.019751,99.3346615,71.5381354,1394.511838,128.357,833,363.013,0.077,1.4917228,102.0854,109.3209,100.2725,91.4032,99.316,103.9553,95.538365,104.9077,89.0337,49,116.621612,646666667
6/1/2013,North America,,,1015266,2038.394737,295.9085,699,140.9,14.2775,283825,385.72,6.91,109.2875,3581.5,7971.552632,464.376,3.33505,88.2455,138224.5263,17501.05263,1228263.158,522.45,558.61,260.67,0.015833,99.4968884,66.6931882,1422.284513,131.816,976,364.299,0.079,1.4917228,103.0096,107.693,102.6665,92.568,100.6493,104.3522,94.990595,105.6774,91.0081,50,116.258323,646666667
7/1/2013,North America,18321,15119,1301937,2035.295455,307.202381,760,150.6,15.01,339714.7727,396.34,7.44,112.0431818,3580,8059.977273,453.7666667,3.3270952,94.8285714,146538.5455,17498.75,1216519.318,524.2,578.49,283.8,0.011163,99.795775,58.432323,1480.394488,129.892,888,367.1,0.08,1.6436364,103.1657,106.4088,103.524,96.1168,100.2191,103.6591,88.65299,105.1606,91.263,53.1,116.692004,510000000
8/1/2013,North America,18321,15119,1332648,2126.975,316.8515789,757,150.5,14.8175,407153.75,376.95,7.21,116.3873684,3508.947368,8062.55,447.51,3.3406842,95.3215789,153634.2,17688.625,1191916.25,478.82,547.24,286.17,0.016909,99.9480223,68.0350978,1512.311887,131.929,962,372.389,0.077,1.6436364,102.9505,107.0051,103.0512,96.7296,101.0195,104.8721,89.968975,106.3574,92.4189,54.5,117.727525,510000000
9/1/2013,North America,18321,15119,1380206,1931.9125,295.6815,910,134,14.1425,524481.25,361.47,7.09,109.663,3754,7659.65,447.0805,3.8163,92.936,161880,16752.875,1197643.75,461.13,533.43,290.93,0.024353,99.8154182,61.897249,1550.82943,129.196,1010,369.175,0.075,1.6436364,103.2322,115.3571,104.2899,99.5797,102.1764,105.8854,87.741075,106.8992,87.7557,52.4,117.029988,510000000
10/1/2013,North America,22394,18205,1432019,1853.071429,272.7809091,863,134.6,14.6275,601363.0952,344.44,6.78,103.8304545,3638.636364,7208.857143,422.2822727,4.1724545,92.0677273,170443.1429,15655.95238,1121564.286,492.01,529.92,270.83,0.014111,99.6093801,68.9547219,1570.702325,130.641,835,367.557,0.076,1.3046226,103.7494,108.4735,99.7232,100.1156,100.4185,104.9127,82.383695,108.3492,89.9069,50.2,116.106778,386666667
11/1/2013,North America,22394,18205,1447741,1829.595238,268.8177273,809,113,15.275,616596.4286,353.88,6.95,103.0340909,3428.181818,7237,427.9559091,4.0379091,94.795,178922.2857,14951.78571,1080685.714,473.64,536.64,262.49,0.013938,99.582819,74.255409,1639.843895,129.517,930,369.337,0.075,1.3046226,102.8366,104.2485,100.9215,100.8768,98.0024,104.8207,80.440575,108.7507,88.7028,50,116.645856,386666667
12/1/2013,North America,22394,18205,1378554,1838.875,274.24,1171,115.4,15.62,634166.25,328.94,6.86,102.8165,3362,7003.95,409.597,3.81475,95.8005,184009.5,14295.625,1081288.75,440.57,462.94,256.95,0.015281,99.7954369,82.126721,1618.771935,132.139,839,370.962,0.075,1.3046226,102.5583,101.5229,96.5693,102.7599,99.5294,105.237,80.15135,109.3651,90.0199,52.6,116.614404,386666667
1/1/2014,North America,21192,17331,1042096,1837.978261,288.4631818,1062,127.6,13.84,640326.087,333.7,6.01,107.66,3505.454546,6901.652174,381.5431818,3.6301364,104.62,195919.5652,13750.32609,1043751.087,445.91,444.98,288.63,0.009506,100.0983135,81.009355,1668.67477,130.855,880,373.426,0.073,1.9450721,100.0813,83.8208,97.5954,102.0133,97.8345,103.2674,80.22779,111.8687,87.9451,54,116.132935,406666667
2/1/2014,North America,21192,17331,1442388,1899.35,297.6104545,1132,134.5,13.525,587046.4286,340.71,5.97,110.1481818,3511.818182,7189.214286,370.7422727,3.4268182,106.5727273,207127.1429,14315.2381,1036360.714,439.87,450.47,286.76,0.022443,100.3620275,81.7572215,1670.093412,131.165,917,372.414,0.072,1.9450721,102.2043,103.2439,99.8397,101.261,97.6451,103.4001,79.69343,112.1357,90.8292,55.3,116.901304,406666667
3/1/2014,North America,21192,17331,1398583,1848.690476,305.2105,2003,131.9,12.8525,573168.75,347.46,4.23,111.5655,3433.5,7162.238095,373.425,3.62435,106.2895,219315.3,13800.71429,981757.5,457.41,437.22,251.57,0.026824,100.4885952,80.2046284,1687.172843,130.594,850,372.091,0.072,1.9450721,102.5919,105.5311,96.9319,99.1397,99.1898,103.9864,83.9221,114.4995,90.229,55.4,116.658015,406666667
4/1/2014,North America,20154,17137,1584195,1885.043478,299.253913,1504,133.6,12.8525,507805.7692,349.67,4.09,109.3886957,3434.347826,7200.086957,374.3965217,3.667087,100.536087,232322.7692,14122.6087,1016298.077,451.43,429.05,238.04,0.025813,100.5255331,72.3763076,1720.025945,134.238,925,373.352,0.072,2.5934223,102.8828,93.394,97.8265,101.7474,98.1247,102.8082,82.38631,112.4284,89.2191,55.4,117.209287,456666667
5/1/2014,North America,20154,17137,1383071,1868.428571,293.5185,1821,135.96,13.275,456952.5,335.13,4.03,107.71,3706,7068.809524,362.3205,3.6242,93.864,243113.1,13722.14286,996921.25,448.67,432.99,245.03,0.022545,100.4973154,72.030153,1783.541356,134.981,1100,373.819,0.069,2.5934223,102.1756,93.3896,99.8166,104.6392,98.9688,101.6138,78.980285,113.7696,90.9103,56.2,117.557198,456666667
6/1/2014,North America,20154,17137,1053549,1978.368421,304.1695238,2277,133.41,13.25,393997.3684,349.83,4.01,110.682381,3956.190476,7216.7,358.4238095,4.2357143,97.6252381,255042.3158,13964,922175,405.92,411.69,259.33,0.022709,100.3684358,77.5355429,1807.775206,133.37,1002,376.575,0.067,2.5934223,102.5201,81.4505,99.134,106.8358,98.7055,100.7965,78.001615,114.4168,88.0371,56,118.000455,456666667
7/1/2014,North America,22358,17134,1298501,2039.636364,301.8219048,1110,125.4,12.8775,335473.8095,335.67,4.14,107.5957143,4142.857143,7292.545455,346.6438095,4.6895714,94.6171429,262230.5714,14087.04545,887655.9524,375.89,403.42,254.72,0.019373,100.1975509,79.4098807,1822.356584,132.541,888,372.607,0.066,1.5398869,102.8656,102.5632,94.6086,104.2021,99.3894,95.426,84.039595,116.7033,86.9481,52.4,118.838391,616666667
8/1/2014,North America,22358,17134,1392062,2034.075,305.9321053,1258,115.8,14.1175,295553.75,340.58,4.38,108.6689474,3963.157895,7152.225,367.6996737,6.0123158,100.8178947,268208.1,14222.75,803886.25,408.17,437.38,251.98,0.022322,100.2453725,78.3006363,1817.034938,131.806,944,378.256,0.067,1.5398869,103.6672,102.4903,91.8548,103.0256,101.0551,97.3601,85.58766,118.0894,89.8287,54.8,119.4412,616666667
9/1/2014,North America,22358,17134,1513753,2011,295.0171429,1362,108.1,14.69,265544.0476,333.45,4.76,107.867619,3780.952381,6653.095238,400.8871143,4.862381,100.8038095,275957.7143,15686.66667,780057.1429,470.63,478.45,268.6,0.02805,100.3480226,83.8611549,1863.524337,136.051,970,382.077,0.067,1.5398869,105.9223,109.2632,105.4631,101.4656,102.59,97.1299,83.908295,119.675,89.3947,55,119.746537,616666667
10/1/2014,North America,24596,20123,1422981,2018.325,295.4542857,943,103.9,15.3875,247636.1111,339.97,4.92,107.9833333,3835.714286,6695.25,411.1299619,4.6062857,102.0690476,279419.6667,17172.25,810670.8333,489.58,495.73,275.44,0.032251,100.4358776,81.712589,1864.262709,134.843,1043,386.506,0.062,2.752312,106.0463,103.8892,94.9622,99.26,101.9991,96.1821,87.38857,122.8828,87.1002,55.3,120.006773,773333333
11/1/2014,North America,24596,20123,1504395,2059.4875,293.107619,934,92.2,15.0525,196134.7222,349.17,4.47,109.2171429,3736.666667,6885.8875,406.3926905,4.623,102.1771429,279903.6667,19412.5,747306.9444,427.59,452.67,278.94,0.034872,100.4938811,82.2080881,1889.767005,136.638,1007,386.815,0.063,2.752312,107.3117,103.3058,96.668,99.6216,102.5809,96.0444,86.67709,124.1562,89.3842,55.5,119.698441,773333333
12/1/2014,North America,24596,20123,1484324,2131.675,296.4447619,850,90.4,13.975,162317.1053,358.59,4.09,111.8990476,3629.047619,6824.475,367.5184095,4.5704762,105.7942857,293870.2105,18658.25,684405.2632,397.76,395.29,287.95,0.038173,100.5366518,86.3661145,1947.088966,135.825,911,387.726,0.061,2.752312,108.1271,96.9034,98.594,95.9747,103.091,96.1966,84.96593,126.8127,90.8369,55.4,119.84574,773333333
1/1/2015,North America,26578,19562,1244533,2310.934783,288.6736364,755,92.3,12.47,155784.0909,368.57,3.46,108.6373913,3625.454546,7117.173913,327.34235,4.0095455,103.5886364,309235.9091,19123.26087,658640.9091,363.18,354.77,261,0.041749,100.6344304,90.3333252,1973.099434,136.419,1085,388.072,0.062,3.1035398,109.1893,101.3805,94.6966,96.3587,102.7108,95.113,84.39649,127.4696,92.542,55.6,119.401737,720000000
